name,label
"Strengthening the application of the principle of equal pay for equal work or work of equal value between men and women",0
"Revision of the Market Stability Reserve for the EU Emissions Trading System",1
"Future of fisheries in the Channel, North Sea, Irish Sea and Atlantic Ocean",0
"Protection of the rights of the child in civil, administrative and family law proceedings",0
"Trans-European energy infrastructure",1
"Guidelines for the 2023 budget - Section III",0
"Equivalence of field inspections and of certain seed produced in Bolivia",0
"Draft amending budget No 1/2022: adjustment of the multiannual financial framework for the years 2021 to 2027",0
"Minimum level of training of seafarers (codification)",0
"Measures against water pollution caused by nitrates, including improvements in the different nitrate measuring systems in member states",1
"Russian aggression against Ukraine",0
"Russian aggression against Ukraine",0
"Strengthening the application of the principle of equal pay for equal work or work of equal value between men and women",0
"Revision of the Market Stability Reserve for the EU Emissions Trading System",1
"Future of fisheries in the Channel, North Sea, Irish Sea and Atlantic Ocean",0
"Protection of the rights of the child in civil, administrative and family law proceedings",0
"Trans-European energy infrastructure",0
"Guidelines for the 2023 budget - Section III",0
"Equivalence of field inspections and of certain seed produced in Bolivia",0
"Draft amending budget No 1/2022: adjustment of the multiannual financial framework for the years 2021 to 2027",0
"Minimum level of training of seafarers (codification)",0
"Measures against water pollution caused by nitrates, including improvements in the different nitrate measuring systems in member states",1
"European Centre for Disease Prevention and Control",0
"Serious cross-border threats to health",0
"Striving for a sustainable and competitive EU aquaculture: the way forward",1
"Impact of new technologies on taxation: crypto and blockchain",0
"Management, conservation and control measures applicable in the Indian Ocean Tuna Commission (IOTC) Area of Competence",1
"Flexible Assistance to Territories (FAST-CARE)",0
"Radio Equipment Directive: common charger for electronic devices",1
"AccessibleEU Centre in support of accessibility policies in the EU internal market",0
"EU Customs Single Window",0
"Statistics on agricultural input and output",0
"Amending Annexes IV and V to Regulation (EU) 2019/1021 on persistent organic pollutants",1
"European Centre for Disease Prevention and Control",0
"Serious cross-border threats to health",0
"Striving for a sustainable and competitive EU aquaculture: the way forward",1
"Impact of new technologies on taxation: crypto and blockchain",0
"Management, conservation and control measures applicable in the Indian Ocean Tuna Commission (IOTC) Area of Competence",1
"Flexible Assistance to Territories (FAST-CARE)",0
"Radio Equipment Directive: common charger for electronic devices",1
"AccessibleEU Centre in support of accessibility policies in the EU internal market",0
"EU Customs Single Window",0
"Statistics on agricultural input and output",0
"Amending Annexes IV and V to Regulation (EU) 2019/1021 on persistent organic pollutants",1
"European Centre for Disease Prevention and Control",0
"Serious cross-border threats to health",0
"Striving for a sustainable and competitive EU aquaculture: the way forward",1
"Impact of new technologies on taxation: crypto and blockchain",
"Management, conservation and control measures applicable in the Indian Ocean Tuna Commission (IOTC) Area of Competence",1
"Flexible Assistance to Territories (FAST-CARE)",0
"Radio Equipment Directive: common charger for electronic devices",1
"AccessibleEU Centre in support of accessibility policies in the EU internal market",0
"EU Customs Single Window",0
"Statistics on agricultural input and output",0
"Amending Annexes IV and V to Regulation (EU) 2019/1021 on persistent organic pollutants",1
"European Centre for Disease Prevention and Control",0
"Serious cross-border threats to health",0
"Striving for a sustainable and competitive EU aquaculture: the way forward",1
"Impact of new technologies on taxation: crypto and blockchain",0
"Management, conservation and control measures applicable in the Indian Ocean Tuna Commission (IOTC) Area of Competence",1
"Flexible Assistance to Territories (FAST-CARE)",0
"Radio Equipment Directive: common charger for electronic devices",1
"AccessibleEU Centre in support of accessibility policies in the EU internal market",0
"EU Customs Single Window",0
"Statistics on agricultural input and output",0
"Amending Annexes IV and V to Regulation (EU) 2019/1021 on persistent organic pollutants",1
"European Centre for Disease Prevention and Control",0
"Serious cross-border threats to health",0
"Striving for a sustainable and competitive EU aquaculture: the way forward",1
"Impact of new technologies on taxation: crypto and blockchain",0
"Management, conservation and control measures applicable in the Indian Ocean Tuna Commission (IOTC) Area of Competence",1
"Flexible Assistance to Territories (FAST-CARE)",0
"Radio Equipment Directive: common charger for electronic devices",1
"AccessibleEU Centre in support of accessibility policies in the EU internal market",0
"EU Customs Single Window",0
"Statistics on agricultural input and output",0
"Amending Annexes IV and V to Regulation (EU) 2019/1021 on persistent organic pollutants",1
"Russian aggression against Ukraine",0
"Russian aggression against Ukraine",0
